delovno_mesto;placilo;lokacija;opis;st_prostih_mest;trajanje;delovnik;sifra
STREŽBA HRANE IN PIJAČE;5.00;POSTOJNA;Izkušnje so zaželene. Pogoj je starost nad 18 let.;1; PO DOGOVORU; Po dogovoru;280545

PRODAJA;4.00;LJUBLJANA;Iščejo komunikativne, urejene in odgovorne osebe, ki imajo veliko prostega časa in jih veseli delo s strankami. Urna postavka od 4,73 € do 6,00 € bruto.;2; DLJE ČASA; Izmensko;280544

DELO V TURIZMU;5.07;LJUBLJANA;Podjetje potrebuje osebo za delo v prodajno svetlovalnem oddelku za turistične storitve. Delo obsega pisno komunikacijo s strankami. Potrebno je dobro znanje pisne angleščine, veščine dobre komunikacije, zaželeno znanje drugih tujih jezikov (italijanščina, nemščina). Želijo si dolgoročnega sodelovanja, možnost kasnejše zaposlitve. Prijave s predstavitvijo pošljite na email.;1; DLJE ČASA; Po dogovoru;280542

ARHIVSKO DELO;4.65;LJUBLJANA;Potrebujejo resnega študenta za delo na oddelku dokumentacije. Delo bo obsegalo: pomoč pri urejanju zbirke dokumentarnega gradiva, pomoč pri skeniranju dokumentacije.;1; DLJE ČASA; Dopoldan;280541

KURIR;4.73;LJUBLJANA;Dostava pošiljk. Pogoja: starost nad 21let, vozniški izpit B-kategorije. Izkušnje niso pogoj, so pa zaželene. Prijava na e-mail.;3; DLJE ČASA; Dopoldan;280540

DELO NA TERENU;5.00;LJUBLJANA;Podjetje potrebuje osebi, stari nad 21 let, za razvoz manjših paketov. Delo poteka s kombijem v dopoldanskem času, od 8. ure dalje. Pogoj je izpit B-kategorije. Zaželene so izkušnje s tovrstnim delom. Vikend in prazniki so prosti. Možnost kasnejše redne zaposlitve.;2; DLJE ČASA; Dopoldan;280539

PRODAJA;4.00;POSTOJNA;Podjetje potrebuje študenta/-ko za delo v zlatarni. Zaželene so izkušnje s tovrstnim delom. Nastop dela je možen takoj. Pogoj je starost nad 22 let ter kraj bivanja Postojna.;1; DLJE ČASA; Izmensko;280538

ADMINISTRATIVNA DELA;4.00;PTUJ;Podjetje potrebuje vztrajni, vestni in ambiciozni osebi za delo v administraciji in telemarketingu. Delo obsega dogovarjanje terminov, organizacijo dela in načrtovanje. Podjetje ob fiksni urni postavki nudi tudi stimulacijo in bonuse. Interesenti naj pokličejo ali pošljejo prijavo na kontakt podjetja.;2; DLJE ČASA; Izmensko;280537

STREŽBA;4.22;KOPER;Pogoj je starost nad 18 let. Delo v strežbi.;1; DLJE ČASA; Po dogovoru;280536

